"","dist_year","dist_type","grove_name","unit_name","landowner","hectares","dist_group"
"241",2020,"lowsev_fire","Dennison","Sequoia and Kings Canyon National Parks","National Park Service",4.8,"Wildfire"
"242",2020,"lowsev_fire","Devil's Canyon","Sequoia and Kings Canyon National Parks","National Park Service",2.8,"Wildfire"
"243",2020,"lowsev_fire","Dillonwood","Sequoia and Kings Canyon National Parks","National Park Service",127.8,"Wildfire"
"244",2020,"lowsev_fire","Forgotten","Sequoia and Kings Canyon National Parks","National Park Service",0.4,"Wildfire"
"245",2020,"lowsev_fire","Garfield","Sequoia and Kings Canyon National Parks","National Park Service",248.9,"Wildfire"
"246",2020,"lowsev_fire","Homers Nose","Sequoia and Kings Canyon National Parks","National Park Service",13.5,"Wildfire"
"247",2020,"lowsev_fire","Putnam-Francis Tree","Sequoia and Kings Canyon National Parks","National Park Service",0.1,"Wildfire"
"248",2020,"lowsev_fire","South Fork","Sequoia and Kings Canyon National Parks","National Park Service",77.6,"Wildfire"
"249",2020,"lowsev_fire","Alder Creek","Save the Redwoods League","Nonprofit",60.6,"Wildfire"
"250",2020,"lowsev_fire","Alder Creek","Private","Private",10.2,"Wildfire"
"251",2020,"lowsev_fire","Freeman Creek","Private","Private",0.1,"Wildfire"
"252",2020,"lowsev_fire","Mountain Home","Private","Private",16.8,"Wildfire"
"253",2020,"lowsev_fire","Alder Creek","Giant Sequoia National Monument","US Forest Service",2.8,"Wildfire"
"254",2020,"lowsev_fire","Belknap Camp","Giant Sequoia National Monument","US Forest Service",10.6,"Wildfire"
"255",2020,"lowsev_fire","Burro Creek","Giant Sequoia National Monument","US Forest Service",0.2,"Wildfire"
"256",2020,"lowsev_fire","Carr Wilson","Giant Sequoia National Monument","US Forest Service",2.4,"Wildfire"
"257",2020,"lowsev_fire","Dennison","Giant Sequoia National Monument","US Forest Service",0.2,"Wildfire"
"258",2020,"lowsev_fire","Dillonwood","Giant Sequoia National Monument","US Forest Service",19.2,"Wildfire"
"259",2020,"lowsev_fire","Dillonwood - West","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"260",2020,"lowsev_fire","Freeman Creek","Giant Sequoia National Monument","US Forest Service",137.2,"Wildfire"
"261",2020,"lowsev_fire","McIntyre","Giant Sequoia National Monument","US Forest Service",24.1,"Wildfire"
"262",2020,"lowsev_fire","Middle Tule","Giant Sequoia National Monument","US Forest Service",16.3,"Wildfire"
"263",2020,"lowsev_fire","Mountain Home","Giant Sequoia National Monument","US Forest Service",55.4,"Wildfire"
"264",2020,"lowsev_fire","Silver Creek","Giant Sequoia National Monument","US Forest Service",0.7,"Wildfire"
"265",2020,"lowsev_fire","Upper Tule","Giant Sequoia National Monument","US Forest Service",1.6,"Wildfire"
"266",2020,"lowsev_fire","Wheel Meadow","Giant Sequoia National Monument","US Forest Service",21.6,"Wildfire"
"267",2020,"lowsev_fire","Wishon","Giant Sequoia National Monument","US Forest Service",0.5,"Wildfire"
"268",2020,"modsev_fire","Mountain Home","Tulare County","County",0.9,"Wildfire"
"269",2020,"modsev_fire","Middle Tule","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",5.9,"Wildfire"
"270",2020,"modsev_fire","Mountain Home","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",107.7,"Wildfire"
"271",2020,"modsev_fire","Silver Creek","Mountain Home Demonstration State Forest","Mountain Home Demonstration State Forest",0.1,"Wildfire"
"272",2020,"modsev_fire","Board Camp","Sequoia and Kings Canyon National Parks","National Park Service",2.3,"Wildfire"
"273",2020,"modsev_fire","Cedar Flat","Sequoia and Kings Canyon National Parks","National Park Service",0.2,"Wildfire"
"274",2020,"modsev_fire","Dillonwood","Sequoia and Kings Canyon National Parks","National Park Service",27.4,"Wildfire"
"275",2020,"modsev_fire","Forgotten","Sequoia and Kings Canyon National Parks","National Park Service",0.2,"Wildfire"
"276",2020,"modsev_fire","Garfield","Sequoia and Kings Canyon National Parks","National Park Service",23.1,"Wildfire"
"277",2020,"modsev_fire","Homers Nose","Sequoia and Kings Canyon National Parks","National Park Service",8.3,"Wildfire"
"278",2020,"modsev_fire","South Fork","Sequoia and Kings Canyon National Parks","National Park Service",9.7,"Wildfire"
"279",2020,"modsev_fire","Alder Creek","Save the Redwoods League","Nonprofit",8.5,"Wildfire"
